NO LOAD			Charger			Bulb
9.55, 53.99, 5.66			12.34, 58.07, 4.71			13.44, 66.64, 4.96
8.39, 57.77, 6.89			11.61, 62.99, 5.43			12.64, 56.21, 4.45
8.27, 51.81, 6.27			12.21, 63.52, 5.20			13.41, 66.55, 4.96
8.68, 53.43, 6.16			11.50, 58.48, 5.08			12.29, 62.90, 5.12
9.06, 53.14, 5.87			10.18, 38.70, 3.80			13.17, 67.99, 5.16
7.98, 41.97, 5.26			11.67, 56.89, 4.87			13.85, 66.64, 4.81
9.37, 52.14, 5.57			11.19, 53.90, 4.82			12.76, 58.21, 4.56
9.04, 51.15, 5.66			11.46, 64.10, 5.60			12.74, 69.79, 5.48
8.51, 50.42, 5.92			11.47, 59.55, 5.19			12.85, 66.97, 5.21
9.00, 52.08, 5.79			10.81, 57.37, 5.31			13.27, 68.69, 5.18
8.76, 50.06, 5.71			11.04, 59.99, 5.43			11.92, 63.29, 5.31
9.06, 54.89, 6.06			11.89, 60.65, 5.10			13.44, 61.94, 4.61
8.93, 51.90, 5.81			11.86, 61.79, 5.21			13.09, 66.28, 5.06
8.47, 54.00, 6.37			11.25, 57.25, 5.09			14.08, 68.58, 4.87
8.79, 55.16, 6.27			11.27, 61.01, 5.41			13.52, 66.55, 4.92
8.51, 48.59, 5.71			11.28, 53.87, 4.77			13.78, 70.59, 5.12
8.98, 53.23, 5.93			11.41, 49.43, 4.33			12.28, 65.08, 5.30
8.35, 49.90, 5.98			11.18, 58.33, 5.22			13.15, 56.51, 4.30
8.79, 55.93, 6.36			11.52, 60.74, 5.27			12.99, 60.60, 4.66
8.51, 53.71, 6.31			12.31, 66.09, 5.37			13.67, 60.12, 4.40
9.93, 51.51, 5.19			11.55, 56.37, 4.88			12.40, 67.03, 5.40
9.18, 54.60, 5.95			11.62, 61.03, 5.25			13.18, 63.02, 4.78
8.83, 50.36, 5.70			11.56, 58.49, 5.06			13.59, 75.69, 5.57
8.96, 69.30, 7.73			11.19, 58.73, 5.25			12.87, 57.99, 4.51
8.63, 55.10, 6.38			11.95, 56.71, 4.75			12.52, 69.95, 5.59
8.44, 51.49, 6.10			11.45, 51.60, 4.51			13.19, 71.20, 5.40
8.46, 52.63, 6.22			11.16, 51.73, 4.64			13.03, 59.37, 4.56
8.46, 47.81, 5.65			11.30, 58.09, 5.14			13.42, 66.95, 4.99
8.72, 42.22, 4.84			10.85, 54.37, 5.01			13.48, 68.33, 5.07
8.58, 44.95, 5.24			11.09, 48.83, 4.40			13.45, 72.18, 5.37
8.08, 49.46, 6.12			11.20, 57.82, 5.16			13.00, 67.96, 5.23
8.78, 70.02, 7.98			12.07, 53.75, 4.45			13.26, 67.89, 5.12
9.90, 69.42, 7.01			11.52, 52.96, 4.60			12.96, 63.54, 4.90
8.54, 50.23, 5.88			11.34, 58.00, 5.11			13.69, 64.34, 4.70
8.53, 46.68, 5.47			11.86, 66.45, 5.60			13.67, 62.16, 4.55
8.14, 38.43, 4.72			11.68, 56.78, 4.86			12.58, 64.62, 5.14
8.16, 57.90, 7.09			11.50, 58.69, 5.11			11.88, 61.53, 5.18
9.24, 55.15, 5.97			11.28, 54.14, 4.80			13.27, 57.79, 4.35
9.18, 53.28, 5.80			11.60, 60.81, 5.24			12.61, 62.16, 4.93
9.31, 51.34, 5.51			11.39, 62.93, 5.53			12.43, 62.54, 5.03
9.39, 52.04, 5.54			11.74, 60.01, 5.11			13.00, 70.73, 5.44
8.39, 47.84, 5.70			11.04, 56.70, 5.14			12.93, 63.70, 4.93
8.85, 45.04, 5.09			11.75, 63.17, 5.38			12.65, 70.16, 5.54
9.16, 53.70, 5.86			11.88, 57.03, 4.80			12.70, 62.31, 4.91
9.10, 53.18, 5.85			10.77, 57.49, 5.34			11.89, 66.47, 5.59
8.48, 66.74, 7.87			10.89, 52.81, 4.85			12.72, 53.35, 4.19
8.68, 47.30, 5.45			12.69, 69.46, 5.48			13.18, 58.79, 4.46
9.10, 51.28, 5.63			11.26, 55.23, 4.90			12.67, 65.19, 5.15
8.61, 55.09, 6.40			12.64, 60.77, 4.81			12.76, 65.57, 5.14
8.44, 41.60, 4.93			11.82, 58.27, 4.93			12.90, 65.49, 5.08
8.28, 46.12, 5.57			11.43, 61.80, 5.40			12.80, 58.83, 4.60
8.36, 62.40, 7.47			12.45, 66.25, 5.32			13.04, 68.49, 5.25
9.03, 49.89, 5.52			11.58, 56.79, 4.90			13.27, 61.16, 4.61
8.51, 50.74, 5.96			11.99, 56.96, 4.75			12.63, 57.11, 4.52
8.68, 53.73, 6.19			11.59, 61.46, 5.30			12.91, 66.35, 5.14
8.58, 53.28, 6.21			11.13, 58.76, 5.28			13.06, 67.00, 5.13
8.49, 48.04, 5.66			11.64, 58.77, 5.05			12.36, 67.19, 5.44
8.39, 52.94, 6.31			11.40, 62.37, 5.47			13.74, 80.47, 5.86
8.07, 48.54, 6.02			10.91, 58.19, 5.33			13.13, 59.38, 4.52
7.95, 54.87, 6.90			11.85, 58.97, 4.98			12.45, 58.99, 4.74
9.00, 53.56, 5.95			11.26, 57.26, 5.09			13.24, 68.88, 5.20
8.21, 50.81, 6.19			11.65, 55.79, 4.79			13.01, 61.48, 4.73
9.88, 53.07, 5.37			11.79, 57.66, 4.89			13.06, 61.27, 4.69
8.38, 49.10, 5.86			11.51, 59.61, 5.18			13.05, 64.55, 4.95
8.95, 52.16, 5.83			11.34, 56.57, 4.99			13.71, 73.29, 5.34
9.61, 54.27, 5.65			11.58, 57.69, 4.98			13.90, 60.36, 4.34
8.90, 49.38, 5.55			11.55, 65.65, 5.68			12.56, 61.47, 4.89
8.65, 51.73, 5.98			12.45, 58.89, 4.73			13.16, 59.53, 4.52
8.13, 53.60, 6.59			11.72, 58.55, 5.00			13.05, 65.81, 5.04
8.23, 48.68, 5.92			12.14, 59.66, 4.91			13.15, 60.19, 4.58
8.67, 52.88, 6.10			11.39, 59.64, 5.24			12.51, 69.45, 5.55
8.64, 43.40, 5.03			11.23, 62.49, 5.57			12.17, 52.34, 4.30
8.22, 61.80, 7.52			11.49, 38.88, 3.38			13.13, 65.90, 5.02
8.77, 51.82, 5.91			11.34, 60.07, 5.30			12.64, 68.72, 5.44
9.47, 52.36, 5.53			11.49, 58.41, 5.08			12.86, 75.18, 5.85
8.91, 51.73, 5.81			11.59, 56.05, 4.83			12.49, 67.13, 5.38
8.87, 52.78, 5.95			11.82, 58.99, 4.99			12.88, 58.61, 4.55
8.67, 61.31, 7.07			11.29, 53.88, 4.77			13.16, 69.02, 5.24
8.53, 51.19, 6.00			11.86, 59.72, 5.04			13.10, 61.85, 4.72
9.07, 49.29, 5.43			12.16, 62.49, 5.14			13.31, 70.38, 5.29
8.39, 51.48, 6.14			11.73, 54.47, 4.65			13.71, 60.37, 4.40
8.89, 51.89, 5.84			11.42, 59.19, 5.19			13.45, 85.64, 6.37
8.81, 52.33, 5.94			11.78, 59.30, 5.03			12.69, 65.13, 5.13
9.60, 52.22, 5.44			12.45, 68.01, 5.46			13.04, 69.41, 5.32
8.96, 56.58, 6.31			11.89, 70.97, 5.97			12.68, 84.59, 6.67
9.12, 53.02, 5.81			11.39, 56.81, 4.99			13.27, 69.29, 5.22
9.55, 52.84, 5.53			11.84, 58.42, 4.93			13.21, 62.92, 4.76
8.83, 49.23, 5.57			11.48, 57.42, 5.00			12.98, 57.34, 4.42
8.85, 52.79, 5.97			12.02, 59.13, 4.92			13.44, 67.98, 5.06
8.75, 51.38, 5.87			11.87, 54.34, 4.58			13.40, 69.78, 5.21
9.06, 53.46, 5.90			11.35, 49.93, 4.40			12.42, 71.77, 5.78
8.33, 50.47, 6.06			11.48, 58.29, 5.08			12.91, 69.32, 5.37
8.51, 53.56, 6.29			11.55, 56.28, 4.87			12.99, 60.38, 4.65
8.90, 53.22, 5.98			12.46, 67.08, 5.38			13.72, 74.07, 5.40
9.00, 51.65, 5.74			11.85, 60.15, 5.08			12.58, 63.69, 5.06
8.75, 52.80, 6.03			11.47, 58.21, 5.08			13.64, 64.95, 4.76
8.64, 51.78, 5.99			12.15, 59.79, 4.92			13.41, 60.54, 4.51
9.04, 52.87, 5.85			11.40, 49.89, 4.38			12.62, 66.24, 5.25
8.84, 69.36, 7.85			11.83, 62.34, 5.27			12.66, 66.01, 5.21
8.87, 47.95, 5.40			11.31, 53.43, 4.72			13.26, 61.12, 4.61
8.86, 47.47, 5.36			11.24, 48.15, 4.29			13.02, 64.69, 4.97
8.58, 52.58, 6.13			10.78, 45.45, 4.22			12.47, 59.90, 4.80
8.60, 49.65, 5.78			11.52, 57.71, 5.01			13.55, 65.04, 4.80
8.73, 52.56, 6.02			11.71, 60.39, 5.16			13.56, 67.41, 4.97
9.63, 52.44, 5.45			11.72, 62.47, 5.33			12.46, 64.44, 5.17
9.14, 51.45, 5.63			12.16, 57.70, 4.75			12.35, 65.92, 5.34
8.35, 49.92, 5.98			11.09, 58.20, 5.25			13.66, 66.41, 4.86
9.01, 51.99, 5.77			12.08, 70.23, 5.81			13.63, 62.61, 4.59
8.05, 52.89, 6.57			11.87, 57.37, 4.83			14.01, 70.11, 5.00
8.20, 52.98, 6.46			11.76, 52.06, 4.43			13.27, 65.25, 4.92
9.06, 51.38, 5.67			12.43, 71.04, 5.71			12.25, 53.72, 4.39
8.13, 55.40, 6.82			11.80, 52.51, 4.45			14.11, 86.14, 6.10
8.67, 54.90, 6.33			11.76, 64.61, 5.50			12.47, 55.62, 4.46
7.85, 45.62, 5.81			11.54, 59.45, 5.15			13.07, 64.29, 4.92
8.57, 58.22, 6.79			11.04, 60.55, 5.48			13.25, 65.16, 4.92
7.98, 47.78, 5.99			12.14, 59.16, 4.87			13.48, 67.11, 4.98
8.77, 50.30, 5.73			11.24, 58.53, 5.20			12.50, 60.94, 4.88
9.89, 53.89, 5.45			11.56, 59.29, 5.13			13.20, 76.49, 5.80
8.90, 55.03, 6.18			12.00, 53.49, 4.46			12.46, 66.69, 5.35
8.62, 53.90, 6.26			11.54, 60.45, 5.24			12.89, 54.15, 4.20
8.21, 53.96, 6.58			11.76, 57.65, 4.90			12.42, 66.79, 5.38
9.01, 60.72, 6.74			11.74, 58.10, 4.95			11.16, 40.75, 3.65
7.87, 51.65, 6.56			11.22, 53.94, 4.81			13.44, 61.17, 4.55
8.85, 52.38, 5.92			11.35, 50.18, 4.42			13.26, 69.82, 5.27
8.66, 51.84, 5.99			11.42, 52.29, 4.58			13.37, 67.00, 5.01
8.79, 60.87, 6.92			11.41, 58.97, 5.17			12.91, 65.84, 5.10
8.72, 47.45, 5.44			11.40, 58.18, 5.10			13.90, 67.11, 4.83
9.38, 51.62, 5.50			11.30, 49.13, 4.35			12.16, 63.97, 5.26
8.94, 52.19, 5.84			11.44, 54.00, 4.72			14.15, 65.11, 4.60
8.82, 53.90, 6.11			11.72, 50.80, 4.33			12.98, 62.68, 4.83
9.28, 51.35, 5.53			12.90, 67.23, 5.21			12.98, 64.22, 4.95
8.75, 52.80, 6.03			11.95, 60.99, 5.10			13.85, 65.33, 4.72
9.98, 69.73, 6.99			11.13, 49.02, 4.40			11.64, 57.11, 4.91
8.85, 48.65, 5.50			12.42, 55.44, 4.46			13.34, 61.97, 4.65
9.31, 52.84, 5.67			11.47, 50.55, 4.41			13.28, 63.46, 4.78
8.70, 46.18, 5.31			11.33, 63.06, 5.56			12.76, 72.99, 5.72
9.02, 53.48, 5.93			10.58, 53.13, 5.02			12.08, 62.00, 5.13
7.82, 40.40, 5.16			11.75, 53.99, 4.59			14.00, 69.11, 4.94
9.01, 50.34, 5.59			11.93, 57.11, 4.79			12.48, 68.24, 5.47
9.32, 54.17, 5.81			11.58, 59.88, 5.17			13.45, 59.56, 4.43
8.73, 43.36, 4.97			12.39, 56.87, 4.59			13.32, 62.69, 4.71
8.73, 44.54, 5.10			11.39, 62.09, 5.45			13.85, 76.90, 5.55
9.05, 51.73, 5.72			12.43, 57.90, 4.66			13.46, 71.56, 5.32
8.19, 50.70, 6.19			11.42, 56.04, 4.91			13.31, 70.56, 5.30
9.19, 52.57, 5.72			11.10, 66.01, 5.95			12.84, 58.81, 4.58
8.93, 56.76, 6.35			12.83, 64.10, 5.00			12.65, 72.21, 5.71
8.18, 56.75, 6.94			11.79, 59.41, 5.04			13.52, 65.52, 4.85
8.85, 52.56, 5.94			11.78, 47.67, 4.05			12.56, 69.44, 5.53
9.48, 50.80, 5.36			11.63, 56.60, 4.87			13.00, 60.63, 4.66
8.68, 49.95, 5.75			11.11, 58.75, 5.29			12.27, 52.11, 4.25
7.14, 42.79, 6.00			12.57, 59.61, 4.74			12.99, 59.89, 4.61
8.73, 45.79, 5.25			11.15, 56.05, 5.03			12.17, 60.96, 5.01
8.56, 49.89, 5.83			12.22, 59.19, 4.84			12.43, 52.80, 4.25
7.76, 46.79, 6.03			11.98, 59.88, 5.00			13.39, 59.95, 4.48
9.17, 51.45, 5.61			11.64, 50.48, 4.34			13.20, 65.00, 4.92
9.52, 52.73, 5.54			11.33, 53.90, 4.76			12.74, 63.94, 5.02
8.80, 47.91, 5.45			11.24, 57.21, 5.09			13.58, 64.33, 4.74
7.91, 56.12, 7.10			10.97, 56.73, 5.17			13.67, 81.49, 5.96
9.47, 48.52, 5.12			11.58, 65.84, 5.68			12.54, 57.71, 4.60
8.86, 56.73, 6.40			12.00, 53.12, 4.43			12.91, 61.75, 4.78
8.48, 51.46, 6.07			11.39, 62.20, 5.46			12.65, 58.53, 4.63
8.54, 52.98, 6.21			10.95, 58.27, 5.32			12.66, 53.19, 4.20
9.86, 51.09, 5.18			11.72, 62.81, 5.36			13.00, 58.24, 4.48
7.97, 52.90, 6.63			11.56, 49.88, 4.31			13.41, 71.33, 5.32
8.79, 52.01, 5.92			11.73, 57.71, 4.92			12.33, 57.59, 4.67
7.82, 43.67, 5.58			11.32, 54.33, 4.80			12.93, 66.37, 5.13
9.30, 70.27, 7.55			11.05, 59.99, 5.43			12.36, 56.15, 4.54
8.27, 49.16, 5.94			11.81, 60.63, 5.13			14.29, 68.49, 4.79
8.18, 44.83, 5.48			11.11, 58.42, 5.26			12.85, 62.02, 4.83
9.31, 54.36, 5.84			11.45, 53.85, 4.70			13.49, 64.50, 4.78
7.71, 45.87, 5.95			11.68, 57.83, 4.95			13.69, 67.72, 4.95
8.84, 48.87, 5.53			10.39, 63.12, 6.08			12.45, 58.51, 4.70
8.51, 50.85, 5.98			11.99, 53.12, 4.43			12.67, 66.94, 5.29
8.81, 53.50, 6.08			10.92, 56.59, 5.18			12.42, 58.46, 4.71
8.03, 45.02, 5.60			11.06, 55.18, 4.99			13.95, 62.74, 4.50
9.13, 50.34, 5.52			11.73, 62.32, 5.31			13.36, 67.33, 5.04
8.79, 53.15, 6.05			9.89, 54.71, 5.53			13.67, 71.16, 5.20
9.57, 51.91, 5.43			11.19, 59.40, 5.31			11.92, 60.04, 5.04
8.30, 50.13, 6.04			11.32, 60.39, 5.34			14.38, 76.58, 5.33
9.14, 52.59, 5.76			11.49, 60.44, 5.26			12.56, 56.81, 4.52
8.13, 47.62, 5.86			12.17, 60.66, 4.98			13.97, 67.11, 4.80
8.76, 51.35, 5.86			10.86, 58.22, 5.36			13.26, 56.84, 4.29
8.55, 47.85, 5.59			10.37, 54.89, 5.29			13.86, 68.66, 4.96
8.29, 45.62, 5.50			11.39, 61.28, 5.38			13.66, 66.28, 4.85
8.69, 53.06, 6.10			10.92, 58.39, 5.35			12.37, 57.63, 4.66
8.16, 52.08, 6.38			10.86, 58.59, 5.40			12.25, 58.58, 4.78
9.10, 50.63, 5.56			10.85, 61.14, 5.63			12.17, 60.45, 4.97
8.22, 48.12, 5.85			10.60, 57.05, 5.38			11.97, 70.88, 5.92
9.02, 57.20, 6.34			10.98, 61.84, 5.63			12.30, 55.95, 4.55
8.21, 54.90, 6.69			10.96, 55.44, 5.06			11.87, 66.87, 5.64
8.81, 48.41, 5.49			11.35, 59.59, 5.25			12.44, 59.89, 4.81
9.02, 48.73, 5.40			10.57, 64.77, 6.13			12.70, 65.68, 5.17
9.32, 49.96, 5.36			11.39, 67.03, 5.89			12.01, 66.19, 5.51
8.49, 41.53, 4.89			11.30, 54.00, 4.78			11.56, 61.53, 5.32
9.24, 54.14, 5.86			10.68, 62.78, 5.88			12.26, 66.42, 5.42
9.02, 51.83, 5.74			10.52, 57.49, 5.46			12.87, 61.04, 4.74
9.24, 52.57, 5.69			10.82, 57.42, 5.31			12.33, 64.14, 5.20
8.61, 47.36, 5.50			11.61, 74.02, 6.37			12.38, 53.38, 4.31
8.52, 52.28, 6.14			10.72, 58.90, 5.49			12.51, 59.70, 4.77
8.89, 52.42, 5.90			11.07, 62.81, 5.67			12.12, 65.17, 5.38
8.35, 53.12, 6.36			11.41, 58.12, 5.09			12.45, 56.03, 4.50
8.58, 51.25, 5.98			10.76, 58.64, 5.45			11.84, 59.94, 5.06
8.12, 42.40, 5.23			11.16, 59.37, 5.32			13.47, 67.36, 5.00
9.22, 49.74, 5.39			10.57, 63.70, 6.03			11.78, 51.98, 4.41
9.71, 54.80, 5.64			10.55, 54.01, 5.12			11.91, 56.11, 4.71
8.71, 49.41, 5.68			11.27, 59.38, 5.27			11.27, 54.08, 4.80
8.23, 50.52, 6.14			9.91, 58.89, 5.95			12.61, 58.03, 4.60
8.86, 54.40, 6.14			10.51, 56.93, 5.42			12.15, 54.78, 4.51
8.79, 57.36, 6.52			10.08, 48.52, 4.81			11.96, 59.19, 4.95
8.70, 45.51, 5.23			10.25, 59.08, 5.77			13.15, 58.31, 4.43
9.01, 47.68, 5.29			11.04, 59.35, 5.38			11.51, 47.91, 4.16
9.27, 47.02, 5.07			10.34, 59.85, 5.79			12.33, 61.36, 4.98
8.59, 53.04, 6.17			10.78, 57.92, 5.37			11.65, 68.62, 5.89
8.75, 42.99, 4.92			11.65, 56.66, 4.86			12.22, 62.10, 5.08
8.56, 45.20, 5.28			10.78, 58.46, 5.42			11.50, 54.54, 4.74
9.02, 46.56, 5.16			11.31, 57.30, 5.07			12.41, 69.56, 5.61
8.84, 55.45, 6.27			10.15, 58.76, 5.79			11.94, 62.53, 5.24
8.09, 39.14, 4.84			10.19, 54.85, 5.38			12.48, 62.23, 4.99
9.44, 52.39, 5.55			10.96, 58.19, 5.31			11.51, 70.90, 6.16
9.73, 56.88, 5.84			10.21, 49.79, 4.88			13.07, 63.19, 4.84
8.64, 51.59, 5.97			10.09, 60.65, 6.01			11.47, 59.24, 5.16
8.68, 53.49, 6.16			10.68, 55.39, 5.19			11.82, 59.89, 5.07
8.50, 41.89, 4.93			10.42, 57.87, 5.56			11.54, 45.43, 3.94
8.26, 52.79, 6.39			11.38, 55.21, 4.85			12.13, 64.97, 5.36
8.32, 41.89, 5.03			9.03, 50.93, 5.64			11.86, 58.15, 4.90
8.40, 41.39, 4.93			12.20, 63.91, 5.24			11.84, 58.83, 4.97
8.54, 49.03, 5.74			11.21, 58.82, 5.25			12.00, 60.15, 5.01
8.17, 53.89, 6.59			12.08, 61.81, 5.12			12.00, 58.30, 4.86
8.68, 52.95, 6.10			11.92, 60.31, 5.06			12.24, 59.20, 4.84
8.10, 51.47, 6.36			11.74, 48.91, 4.17			11.84, 73.51, 6.21
9.30, 53.19, 5.72			11.88, 68.39, 5.76			12.44, 59.18, 4.76
8.19, 40.39, 4.93			11.52, 58.69, 5.09			11.92, 53.77, 4.51
8.28, 51.75, 6.25			12.57, 68.45, 5.45			11.48, 62.89, 5.48
8.70, 49.84, 5.73			11.51, 53.09, 4.61			11.38, 59.96, 5.27
9.46, 55.80, 5.90			12.05, 56.89, 4.72
8.80, 51.84, 5.89			12.17, 60.51, 4.97			SET 2 - after set 6 of no load
9.19, 56.97, 6.20			11.78, 67.84, 5.76			10.75, 60.19, 5.60
8.33, 54.00, 6.48			10.59, 58.21, 5.49			11.98, 62.80, 5.24
8.26, 52.14, 6.31			12.50, 63.99, 5.12			13.26, 69.54, 5.24
9.31, 54.29, 5.83			11.74, 57.89, 4.93			13.66, 59.38, 4.35
8.18, 50.52, 6.18			11.23, 48.93, 4.36			14.19, 87.73, 6.18
8.38, 43.87, 5.23			11.46, 72.69, 6.34			14.32, 73.92, 5.16
8.66, 55.31, 6.38			12.12, 57.70, 4.76			14.80, 78.12, 5.28
8.70, 50.57, 5.81			11.93, 53.48, 4.48			14.48, 69.71, 4.81
9.31, 58.39, 6.27			11.28, 58.19, 5.16			13.84, 60.05, 4.34
9.29, 53.88, 5.80			11.86, 56.41, 4.76			15.15, 86.47, 5.71
8.79, 48.61, 5.53			11.68, 56.79, 4.86			15.03, 73.72, 4.90
8.48, 50.99, 6.01			11.76, 67.01, 5.70			14.88, 83.53, 5.61
9.00, 55.55, 6.17			11.34, 57.63, 5.08			14.59, 70.57, 4.84
8.80, 53.60, 6.09			11.36, 54.08, 4.76			15.26, 67.03, 4.39
8.71, 52.51, 6.03			11.77, 59.21, 5.03			14.62, 71.24, 4.87
8.86, 55.62, 6.28			12.09, 80.10, 6.62			14.42, 70.66, 4.90
9.63, 57.30, 5.95			12.08, 56.03, 4.64			15.04, 65.82, 4.38
7.78, 40.96, 5.27			11.71, 55.52, 4.74			15.55, 80.38, 5.17
9.23, 48.78, 5.29			11.40, 51.02, 4.48			14.07, 71.48, 5.08
8.66, 43.24, 4.99			11.97, 53.21, 4.45			14.51, 69.96, 4.82
8.13, 55.70, 6.85			11.95, 62.95, 5.27			14.22, 63.81, 4.49
9.22, 53.38, 5.79			12.61, 62.70, 4.97			14.03, 67.17, 4.79
9.39, 51.68, 5.51			11.98, 57.63, 4.81			14.33, 53.04, 3.70
8.61, 52.95, 6.15			11.96, 60.10, 5.03			15.23, 74.55, 4.90
8.67, 53.70, 6.19			11.47, 57.59, 5.02			15.71, 103.97, 6.62
8.43, 47.56, 5.64			11.65, 65.01, 5.58			13.33, 70.81, 5.31
8.82, 53.74, 6.10			10.98, 50.09, 4.56			14.68, 105.89, 7.21
9.37, 54.83, 5.85			12.41, 64.39, 5.19			15.52, 84.72, 5.46
9.35, 53.80, 5.75			11.26, 59.35, 5.27			14.43, 69.04, 4.78
8.24, 53.86, 6.54			11.81, 59.60, 5.05			14.52, 90.91, 6.26
8.77, 50.91, 5.81			11.28, 64.20, 5.69			14.33, 71.69, 5.00
9.02, 55.11, 6.11			12.00, 60.30, 5.02			14.44, 83.35, 5.77
8.48, 43.86, 5.17			12.07, 59.15, 4.90			16.33, 92.80, 5.68
8.31, 44.50, 5.35			11.53, 58.68, 5.09			13.57, 77.01, 5.68
8.51, 44.94, 5.28			11.66, 57.96, 4.97			14.11, 71.57, 5.07
8.00, 30.92, 3.86			11.37, 49.30, 4.34			14.43, 62.03, 4.30
9.32, 56.06, 6.01			12.24, 59.26, 4.84			14.37, 69.56, 4.84
8.57, 41.55, 4.85			11.19, 59.07, 5.28			13.98, 63.19, 4.52
9.02, 43.57, 4.83			11.08, 54.41, 4.91			14.20, 71.04, 5.00
8.52, 54.87, 6.44			11.74, 57.85, 4.93			14.45, 115.96, 8.02
9.01, 50.47, 5.61			11.54, 54.10, 4.69			13.71, 68.81, 5.02
8.59, 53.06, 6.18			11.35, 67.71, 5.97			13.96, 81.29, 5.82
8.30, 53.56, 6.46			11.90, 62.91, 5.29			14.02, 58.03, 4.14
8.28, 51.86, 6.26			12.46, 66.73, 5.36			13.98, 73.90, 5.29
8.18, 51.77, 6.33			11.39, 61.21, 5.37			14.33, 79.90, 5.58
8.11, 49.74, 6.13			11.14, 56.41, 5.06			14.95, 60.70, 4.06
8.63, 53.08, 6.15			11.59, 57.61, 4.97			13.11, 64.72, 4.94
8.61, 55.47, 6.44			11.70, 56.28, 4.81			14.38, 58.95, 4.10
8.59, 52.11, 6.07			12.43, 57.31, 4.61			13.89, 65.53, 4.72
9.53, 53.70, 5.64			11.34, 54.52, 4.81			15.44, 88.45, 5.73
8.54, 52.98, 6.20			11.30, 49.12, 4.35			14.65, 92.12, 6.29
8.23, 45.62, 5.54			12.34, 57.52, 4.66			14.76, 71.15, 4.82
8.86, 53.10, 5.99			11.32, 53.66, 4.74			13.42, 59.87, 4.46
8.86, 49.49, 5.59			12.02, 57.01, 4.74			14.97, 70.06, 4.68
8.90, 55.28, 6.21			11.66, 48.94, 4.20			15.48, 66.53, 4.30
8.70, 52.27, 6.01			11.62, 55.63, 4.79			14.52, 62.84, 4.33
9.17, 53.98, 5.89			11.13, 56.07, 5.04			14.15, 51.67, 3.65
8.60, 52.85, 6.15			11.35, 58.61, 5.17			15.65, 62.63, 4.00
8.15, 45.53, 5.59			12.21, 58.84, 4.82			15.17, 72.93, 4.81
8.35, 52.20, 6.25			11.45, 56.96, 4.97			15.63, 128.05, 8.19
8.97, 52.79, 5.88			11.79, 57.43, 4.87			14.74, 67.15, 4.56
8.49, 67.97, 8.01			11.71, 48.62, 4.15			14.73, 84.21, 5.72
9.44, 53.97, 5.71			11.89, 54.54, 4.59			14.81, 62.70, 4.23
9.25, 52.18, 5.64			12.54, 56.76, 4.52			14.33, 65.44, 4.57
8.63, 55.29, 6.41			11.34, 47.24, 4.17			14.22, 107.46, 7.56
8.96, 51.99, 5.80			12.63, 57.70, 4.57			15.23, 66.55, 4.37
9.11, 53.52, 5.88			12.03, 55.76, 4.64			15.26, 65.44, 4.29
8.68, 48.13, 5.54			12.13, 62.07, 5.12			14.08, 61.85, 4.39
9.25, 52.56, 5.68			11.85, 60.12, 5.07			14.61, 81.14, 5.55
9.38, 57.96, 6.18			12.34, 65.18, 5.28			15.40, 76.02, 4.94
8.59, 47.14, 5.49			11.79, 61.52, 5.22			14.76, 67.58, 4.58
8.48, 56.04, 6.61			11.43, 53.05, 4.64			14.36, 67.23, 4.68
8.92, 56.40, 6.32			11.39, 53.87, 4.73			14.84, 70.88, 4.78
8.76, 54.59, 6.23			11.01, 54.00, 4.91			14.16, 69.57, 4.91
8.80, 50.57, 5.74			11.46, 57.03, 4.97			14.29, 67.60, 4.73
8.80, 52.01, 5.91			12.12, 54.73, 4.52			15.41, 70.48, 4.57
9.01, 51.62, 5.73			11.34, 51.17, 4.51			13.99, 68.51, 4.90
8.84, 50.95, 5.76			11.64, 58.15, 5.00			14.39, 63.54, 4.41
8.60, 50.55, 5.88			11.02, 55.68, 5.05			15.05, 68.12, 4.53
8.76, 51.20, 5.85			11.46, 56.96, 4.97			13.46, 50.99, 3.79
8.94, 59.63, 6.67			12.13, 56.58, 4.66			14.67, 65.89, 4.49
8.04, 41.73, 5.19			11.48, 53.20, 4.63			15.54, 72.21, 4.65
8.59, 51.05, 5.94			11.90, 58.02, 4.88			14.56, 69.61, 4.78
8.07, 53.96, 6.68			11.96, 55.65, 4.65			15.02, 67.39, 4.49
8.02, 49.03, 6.11			12.05, 67.27, 5.58			16.12, 75.04, 4.66
9.11, 50.88, 5.58			11.75, 60.09, 5.11			16.00, 76.29, 4.77
9.14, 53.85, 5.89			11.32, 67.09, 5.93			15.19, 76.37, 5.03
8.84, 51.01, 5.77			11.56, 60.91, 5.27			13.99, 62.19, 4.45
8.80, 49.07, 5.57			10.89, 53.85, 4.95			15.35, 79.89, 5.21
8.46, 54.23, 6.41			12.14, 60.73, 5.00			14.49, 91.12, 6.29
9.75, 53.91, 5.53			11.43, 59.28, 5.18			14.53, 65.70, 4.52
9.82, 54.77, 5.58			10.84, 57.92, 5.34			14.84, 81.11, 5.47
8.26, 54.69, 6.62			12.11, 58.63, 4.84			15.11, 59.44, 3.93
8.32, 46.00, 5.53			11.06, 53.89, 4.87			15.42, 70.90, 4.60
8.53, 41.67, 4.89			10.72, 52.39, 4.89			14.62, 65.36, 4.47
8.93, 50.57, 5.66			11.84, 51.99, 4.39			14.96, 100.46, 6.72
8.66, 47.36, 5.47			12.04, 65.99, 5.48			14.92, 68.18, 4.57
